Wavenumber [cm^-1];3 min;30 min;60 min;90 min;120 min;150 min;180 min;300 min;360 min;1800 min
553,2289;0,016940671;0,032598801;0,077969874;0,06054299;0,047400281;0,060191993;0,060105585;0,065900146;0,040160556;0,012112588
553,47;0,017046197;0,033858506;0,079566859;0,059576486;0,048163774;0,060076109;0,060381892;0,066619713;0,040275803;0,012538134
553,711;0,017101849;0,034893749;0,081063905;0,058831255;0,048815804;0,059616972;0,060458075;0,067262771;0,04032647;0,012898709
553,9521;0,016953465;0,035823647;0,082333161;0,05828175;0,04948534;0,059099259;0,060562233;0,067865805;0,040411254;0,013170679
554,1931;0,016810405;0,036420281;0,083170276;0,058145117;0,05018651;0,059037093;0,060733365;0,06848823;0,040573657;0,013435839
554,4342;0,01668511;0,036721071;0,083701097;0,05836181;0,050860085;0,05939495;0,06097287;0,069138827;0,040856276;0,013698934
554,6752;0,016524039;0,036564798;0,084196975;0,058863473;0,051372992;0,060008952;0,061257347;0,069897413;0,041250814;0,014047749
554,9163;0,016763332;0,03618128;0,084601456;0,059767261;0,051899102;0,061187877;0,061675095;0,07072257;0,041777167;0,014397308
555,1573;0,01723635;0,035496099;0,085239891;0,060973019;0,052333843;0,062640646;0,062214312;0,071663914;0,042399039;0,014806727
555,3984;0,017811531;0,034752073;0,086292626;0,0623438;0,052691984;0,064137336;0,062890398;0,072660826;0,043106325;0,015208781
555,6395;0,018319907;0,034207643;0,087820535;0,063730728;0,053004339;0,065511259;0,063697151;0,073630715;0,043880778;0,015525317
555,8806;0,018891776;0,033752808;0,089491218;0,065264602;0,053397408;0,067234512;0,06465617;0,074586779;0,044660597;0,015799164
556,1216;0,01931287;0,03367031;0,091295748;0,066715744;0,053872903;0,069009907;0,065703254;0,075455827;0,045421233;0,015940451
556,3627;0,019632628;0,033969267;0,093174273;0,068084508;0,054315195;0,070591622;0,066608802;0,076199139;0,046112983;0,015934562
556,6037;0,019873009;0,034655861;0,094991242;0,069346439;0,054809511;0,072006977;0,067456312;0,076918533;0,04670465;0,015816242
556,8448;0,020164854;0,035617209;0,096656503;0,070604592;0,055368622;0,073268051;0,068273885;0,077721589;0,04717813;0,015658516
557,0858;0,020618323;0,036734694;0,098106406;0,071969711;0,056011556;0,074418064;0,069134017;0,078701424;0,047544126;0,015540879
557,3269;0,021121755;0,038092833;0,099433796;0,073351351;0,056726083;0,075227295;0,070110009;0,07985382;0,047860635;0,015470017
557,5679;0,02174151;0,039510609;0,100515626;0,074813057;0,05755183;0,075919464;0,07127056;0,081171594;0,04817066;0,015520183
557,809;0,02241163;0,040908239;0,101324541;0,076247381;0,058496468;0,076529149;0,072620867;0,082563326;0,048524697;0,015707574
558,05;0,023052972;0,042194605;0,101876492;0,077490871;0,059544326;0,077043071;0,074105031;0,083912234;0,048952149;0,016028922
558,2911;0,023602778;0,043266126;0,102250424;0,078381379;0,060655271;0,077412208;0,075627548;0,085117398;0,049456112;0,016474966
558,5322;0,024121277;0,044101442;0,102737514;0,078869829;0,06153432;0,077163471;0,07676092;0,085983127;0,050018139;0,01696356
558,7733;0,024694069;0,044587354;0,103139559;0,079037518;0,062476669;0,077083659;0,077868244;0,086677419;0,050603228;0,017558006
559,0143;0,025068485;0,044692401;0,103766835;0,078886172;0,063289534;0,076961082;0,07889872;0,087277084;0,051170432;0,018285219
559,2554;0,025426663;0,044572603;0,104642186;0,078728242;0,063844883;0,076918218;0,079722846;0,0877527;0,051708846;0,019070297
559,4964;0,025743165;0,044386541;0,105727165;0,078778775;0,064107246;0,077155488;0,080395521;0,088147387;0,052221774;0,019873813
559,7375;0,025963529;0,044298533;0,106934417;0,079183124;0,064089591;0,07781807;0,080989844;0,088482424;0,052730112;0,020645772
559,9785;0,026025116;0,04442836;0,108175393;0,079982734;0,063858648;0,078926285;0,081579914;0,08876433;0,053261763;0,021335859
560,2196;0,026026866;0,044658342;0,109272439;0,081252259;0,063556884;0,080609811;0,082240629;0,089039583;0,053823823;0,02195941
560,4606;0,025596239;0,04537936;0,110555608;0,082504746;0,063238331;0,081947269;0,08299049;0,089234403;0,054467196;0,022362239
560,7017;0,025176974;0,046041032;0,111691742;0,083978446;0,063126456;0,083409936;0,083895793;0,089513769;0,055134078;0,022707511
560,9427;0,024677732;0,046718539;0,112816596;0,085389507;0,063320089;0,084565734;0,08499344;0,0899203;0,055815172;0,022974681
561,1838;0,024156952;0,0473399;0,113910513;0,08664178;0,063879199;0,085348341;0,086280327;0,090525275;0,056476474;0,023205155
561,4249;0,023704765;0,047838656;0,115009569;0,087731789;0,064645198;0,085591867;0,087515153;0,091305502;0,057081235;0,023420809
561,666;0,02328217;0,048250106;0,116028063;0,088599634;0,065639388;0,085531311;0,088745519;0,092292081;0,057616857;0,023649983
561,907;0,022712997;0,048491193;0,11708397;0,089186538;0,066687081;0,085151184;0,089883723;0,093473521;0,058071689;0,023949915
562,1481;0,022240787;0,048803732;0,118059234;0,089603453;0,067859447;0,084839563;0,090961363;0,094701301;0,058490029;0,02422225
562,3891;0,021629699;0,049131408;0,119221909;0,089780326;0,069042515;0,08449987;0,09204394;0,09593714;0,05888538;0,024510861
562,6302;0,021041773;0,049336536;0,120780938;0,089937809;0,070000753;0,083993282;0,09292915;0,097028617;0,059256136;0,024828397
562,8712;0,020510969;0,0494366;0,122735075;0,090171549;0,070828591;0,083549422;0,093835895;0,097957451;0,059604803;0,025196469
563,1123;0,020142827;0,049456118;0,125004663;0,090633198;0,071528397;0,083277765;0,09480757;0,098681821;0,059915276;0,025620654
563,3533;0,020035907;0,049464771;0,127370156;0,091446504;0,072109402;0,083307434;0,095827778;0,099185146;0,060165959;0,026090516
563,5944;0,020253748;0,049557977;0,129539597;0,092674818;0,072585373;0,083746605;0,096813613;0,099476004;0,060343547;0,026578071
563,8354;0,020800912;0,049813318;0,13125694;0,094297188;0,072971741;0,084644902;0,09764098;0,099589517;0,060455144;0,027044603
564,0765;0,021619737;0,050251613;0,132405328;0,096208665;0,073291273;0,0859752;0,098192672;0,09958486;0,060532646;0,027453677
564,3176;0,022599453;0,050821202;0,133051937;0,098238073;0,073574283;0,087648211;0,09841189;0,099540545;0,060626504;0,027784082
564,5587;0,023600461;0,051411285;0,133419765;0,100183612;0,073856071;0,089546733;0,098335834;0,09954337;0,060788919;0,028038006
564,7997;0,024485491;0,051897203;0,13378739;0,101852404;0,074169652;0,091560579;0,098089604;0,099670544;0,061051642;0,028239966
565,0408;0,025151582;0,052192173;0,134375254;0,103100902;0,074537693;0,093601323;0,097845695;0,099975146;0,061413569;0,028428609
565,2818;0,025552195;0,052282179;0,135262612;0,103864154;0,074966525;0,09558519;0,09776381;0,100476996;0,061838103;0,028643408
565,5229;0,025705769;0,052231238;0,136377804;0,10417161;0,075451615;0,097409854;0,097940743;0,101162372;0,062270741;0,02891667
565,7639;0,025685564;0,052151132;0,137554188;0,104141718;0,075984494;0,09894104;0,098388699;0,101994593;0,062663585;0,029268278
566,005;0,02559602;0,052154578;0,138626504;0,10395693;0,076564929;0,100031322;0,09904447;0,102925638;0,063000232;0,029707658
566,246;0,025537497;0,052313359;0,139516209;0,103819295;0,077202051;0,100566125;0,099810262;0,103908727;0,063304786;0,030236434
566,4871;0,025576635;0,052634493;0,140266442;0,103903661;0,077906726;0,100523923;0,100597767;0,104902036;0,063636742;0,030850423
566,7281;0,025731495;0,053069262;0,14100856;0,104315579;0,078676588;0,10000984;0,10136079;0,105866389;0,064065204;0,031538447
566,9692;0,025974514;0,053538483;0,141888605;0,105069498;0,079485501;0,099249852;0,102105924;0,10676226;0,064640067;0,032279124
567,2103;0,026314625;0,053926698;0,143057653;0,106144043;0,08014178;0,098339169;0,102687971;0,107487161;0,065361483;0,033027639
567,4514;0,026595827;0,054268806;0,144343503;0,107294314;0,080855526;0,097911892;0,103515929;0,10811259;0,066200353;0,033759763
