Wavenumber [cm^-1];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.]
;t0;t1;t2;t3;t4;t5
268,17239;0,003106498;0,001565122;0,00234095;0,00287869;0,002977408;0,002207229
269,13665;0,003080678;0,001776222;0,002590912;0,003205858;0,00340378;0,001714901
270,10091;0,003004856;0,001807319;0,003290872;0,003343025;0,003470152;0,001982572
271,06517;0,003019032;0,001798415;0,00407083;0,003290191;0,003176522;0,002910242
272,02943;0,003183206;0,001599508;0,004180786;0,003317355;0,003072891;0,00363791
272,99369;0,003457378;0,001290599;0,00376074;0,003544517;0,003359259;0,003875577
273,95795;0,003781548;0,001151688;0,003610691;0,003971678;0,003655625;0,004113243
274,92221;0,004035715;0,001182774;0,003830641;0,004438837;0,003751991;0,004530906
275,88647;0,00420988;0,001253858;0,004090587;0,004645994;0,003828355;0,004788569
276,85074;0,004314042;0,001514939;0,004480532;0,00438315;0,003774717;0,004816229
277,815;0,004328202;0,002056018;0,005070473;0,004020303;0,003521078;0,004873888
278,77926;0,004282359;0,002637093;0,005460412;0,003977455;0,003367438;0,004881545
279,74352;0,004236513;0,003038166;0,005370349;0,004214604;0,003583796;0,0045692
280,70778;0,004190664;0,003289236;0,005070282;0,004671751;0,004130152;0,004216853
281,67204;0,004164812;0,003380302;0,004770213;0,005258896;0,004816507;0,004364505
282,6363;0,004158957;0,003261366;0,00457014;0,005646039;0,00517286;0,004952154
283,60056;0,004213099;0,002972426;0,004630064;0,00586318;0,004959211;0,005259801
284,56482;0,004457238;0,002573483;0,004849986;0,006160318;0,00457556;0,004917446
285,52908;0,004881373;0,002214537;0,004949904;0,006307454;0,004341907;0,004405088
286,49334;0,005245505;0,002065587;0,004989818;0,006124587;0,004258252;0,004172728
287,4576;0,005489634;0,002096634;0,00511973;0,005771718;0,004414596;0,004310366
288,42186;0,005743758;0,002277677;0,005199638;0,005428847;0,004900937;0,004798002
289,38613;0,00603788;0,002738716;0,005369542;0,005245973;0,005427276;0,005455635
